datetime,resolutioncode,fueltypepublication,generatedpower,totalgeneratedpower
2025-03-05T23:45:00+00:00,PT15M,Wind Onshore,54.63,4538.86
2025-03-05T23:45:00+00:00,PT15M,Wind Offshore,109.62,4538.86
2025-03-05T23:45:00+00:00,PT15M,Water,4.52,4538.86
2025-03-05T23:45:00+00:00,PT15M,Solar,0,4538.86
2025-03-05T23:45:00+00:00,PT15M,Other Fuel,0,4538.86
2025-03-05T23:45:00+00:00,PT15M,Other,371.56,4538.86
2025-03-05T23:45:00+00:00,PT15M,Nuclear,3488.99,4538.86
2025-03-05T23:45:00+00:00,PT15M,Natural Gas,509.54,4538.86
2025-03-05T23:45:00+00:00,PT15M,Biofuels,0,4538.86
2025-03-05T23:30:00+00:00,PT15M,Wind Onshore,54.78,4508.56
2025-03-05T23:30:00+00:00,PT15M,Wind Offshore,87.95,4508.56
2025-03-05T23:30:00+00:00,PT15M,Water,4.52,4508.56
2025-03-05T23:30:00+00:00,PT15M,Solar,0,4508.56
2025-03-05T23:30:00+00:00,PT15M,Other Fuel,0,4508.56
2025-03-05T23:30:00+00:00,PT15M,Other,364.79,4508.56
2025-03-05T23:30:00+00:00,PT15M,Nuclear,3488.42,4508.56
2025-03-05T23:30:00+00:00,PT15M,Natural Gas,508.1,4508.56
2025-03-05T23:30:00+00:00,PT15M,Biofuels,0,4508.56
2025-03-05T23:15:00+00:00,PT15M,Wind Onshore,56,4491.73
2025-03-05T23:15:00+00:00,PT15M,Wind Offshore,72.57,4491.73
2025-03-05T23:15:00+00:00,PT15M,Water,4.52,4491.73
2025-03-05T23:15:00+00:00,PT15M,Solar,0,4491.73
2025-03-05T23:15:00+00:00,PT15M,Other Fuel,0,4491.73
2025-03-05T23:15:00+00:00,PT15M,Other,362.32,4491.73
2025-03-05T23:15:00+00:00,PT15M,Nuclear,3487.74,4491.73
2025-03-05T23:15:00+00:00,PT15M,Natural Gas,508.58,4491.73
2025-03-05T23:15:00+00:00,PT15M,Biofuels,0,4491.73
2025-03-05T23:00:00+00:00,PT15M,Wind Onshore,54.88,4518.74
2025-03-05T23:00:00+00:00,PT15M,Wind Offshore,58.24,4518.74
2025-03-05T23:00:00+00:00,PT15M,Water,4.5,4518.74
2025-03-05T23:00:00+00:00,PT15M,Solar,0,4518.74
2025-03-05T23:00:00+00:00,PT15M,Other Fuel,0,4518.74
2025-03-05T23:00:00+00:00,PT15M,Other,339.49,4518.74
2025-03-05T23:00:00+00:00,PT15M,Nuclear,3488.32,4518.74
2025-03-05T23:00:00+00:00,PT15M,Natural Gas,573.31,4518.74
2025-03-05T23:00:00+00:00,PT15M,Biofuels,0,4518.74
2025-03-05T22:45:00+00:00,PT15M,Wind Onshore,50.35,4629.55
2025-03-05T22:45:00+00:00,PT15M,Wind Offshore,55.25,4629.55
2025-03-05T22:45:00+00:00,PT15M,Water,4.51,4629.55
2025-03-05T22:45:00+00:00,PT15M,Solar,0,4629.55
2025-03-05T22:45:00+00:00,PT15M,Other Fuel,0,4629.55
2025-03-05T22:45:00+00:00,PT15M,Other,320.23,4629.55
2025-03-05T22:45:00+00:00,PT15M,Nuclear,3489.22,4629.55
2025-03-05T22:45:00+00:00,PT15M,Natural Gas,709.99,4629.55
2025-03-05T22:45:00+00:00,PT15M,Biofuels,0,4629.55
2025-03-05T22:30:00+00:00,PT15M,Wind Onshore,46.82,4716.23
2025-03-05T22:30:00+00:00,PT15M,Wind Offshore,40.49,4716.23
2025-03-05T22:30:00+00:00,PT15M,Water,4.53,4716.23
2025-03-05T22:30:00+00:00,PT15M,Solar,0,4716.23
2025-03-05T22:30:00+00:00,PT15M,Other Fuel,0,4716.23
2025-03-05T22:30:00+00:00,PT15M,Other,323.76,4716.23
2025-03-05T22:30:00+00:00,PT15M,Nuclear,3488.98,4716.23
2025-03-05T22:30:00+00:00,PT15M,Natural Gas,811.65,4716.23
2025-03-05T22:30:00+00:00,PT15M,Biofuels,0,4716.23
2025-03-05T22:15:00+00:00,PT15M,Wind Onshore,43.11,4722.3
2025-03-05T22:15:00+00:00,PT15M,Wind Offshore,29.51,4722.3
2025-03-05T22:15:00+00:00,PT15M,Water,4.52,4722.3
2025-03-05T22:15:00+00:00,PT15M,Solar,0,4722.3
2025-03-05T22:15:00+00:00,PT15M,Other Fuel,0,4722.3
2025-03-05T22:15:00+00:00,PT15M,Other,352.53,4722.3
2025-03-05T22:15:00+00:00,PT15M,Nuclear,3489.06,4722.3
2025-03-05T22:15:00+00:00,PT15M,Natural Gas,803.57,4722.3
2025-03-05T22:15:00+00:00,PT15M,Biofuels,0,4722.3
2025-03-05T22:00:00+00:00,PT15M,Wind Onshore,40.87,4694.53
2025-03-05T22:00:00+00:00,PT15M,Wind Offshore,35.56,4694.53
2025-03-05T22:00:00+00:00,PT15M,Water,4.53,4694.53
2025-03-05T22:00:00+00:00,PT15M,Solar,0,4694.53
2025-03-05T22:00:00+00:00,PT15M,Other Fuel,0,4694.53
2025-03-05T22:00:00+00:00,PT15M,Other,374.12,4694.53
2025-03-05T22:00:00+00:00,PT15M,Nuclear,3488.75,4694.53
2025-03-05T22:00:00+00:00,PT15M,Natural Gas,750.7,4694.53
2025-03-05T22:00:00+00:00,PT15M,Biofuels,0,4694.53
2025-03-05T21:45:00+00:00,PT15M,Wind Onshore,39.05,4747.29
2025-03-05T21:45:00+00:00,PT15M,Wind Offshore,38.65,4747.29
2025-03-05T21:45:00+00:00,PT15M,Water,85.93,4747.29
2025-03-05T21:45:00+00:00,PT15M,Solar,0,4747.29
2025-03-05T21:45:00+00:00,PT15M,Other Fuel,0,4747.29
2025-03-05T21:45:00+00:00,PT15M,Other,351.96,4747.29
2025-03-05T21:45:00+00:00,PT15M,Nuclear,3489.21,4747.29
2025-03-05T21:45:00+00:00,PT15M,Natural Gas,742.49,4747.29
2025-03-05T21:45:00+00:00,PT15M,Biofuels,0,4747.29
2025-03-05T21:30:00+00:00,PT15M,Wind Onshore,35.98,4754.14
2025-03-05T21:30:00+00:00,PT15M,Wind Offshore,34.22,4754.14
2025-03-05T21:30:00+00:00,PT15M,Water,103.4,4754.14
2025-03-05T21:30:00+00:00,PT15M,Solar,0,4754.14
2025-03-05T21:30:00+00:00,PT15M,Other Fuel,0,4754.14
2025-03-05T21:30:00+00:00,PT15M,Other,349.86,4754.14
2025-03-05T21:30:00+00:00,PT15M,Nuclear,3488.91,4754.14
2025-03-05T21:30:00+00:00,PT15M,Natural Gas,741.77,4754.14
2025-03-05T21:30:00+00:00,PT15M,Biofuels,0,4754.14
2025-03-05T21:15:00+00:00,PT15M,Wind Onshore,32.32,4844.65
2025-03-05T21:15:00+00:00,PT15M,Wind Offshore,29.79,4844.65
2025-03-05T21:15:00+00:00,PT15M,Water,103.4,4844.65
2025-03-05T21:15:00+00:00,PT15M,Solar,0,4844.65
2025-03-05T21:15:00+00:00,PT15M,Other Fuel,0,4844.65
2025-03-05T21:15:00+00:00,PT15M,Other,370.79,4844.65
2025-03-05T21:15:00+00:00,PT15M,Nuclear,3488.38,4844.65
2025-03-05T21:15:00+00:00,PT15M,Natural Gas,819.97,4844.65
2025-03-05T21:15:00+00:00,PT15M,Biofuels,0,4844.65
2025-03-05T21:00:00+00:00,PT15M,Wind Onshore,31.14,5018.6
2025-03-05T21:00:00+00:00,PT15M,Wind Offshore,29.3,5018.6
2025-03-05T21:00:00+00:00,PT15M,Water,69,5018.6
2025-03-05T21:00:00+00:00,PT15M,Solar,0,5018.6
2025-03-05T21:00:00+00:00,PT15M,Other Fuel,0,5018.6
2025-03-05T21:00:00+00:00,PT15M,Other,364.18,5018.6
2025-03-05T21:00:00+00:00,PT15M,Nuclear,3487.46,5018.6
2025-03-05T21:00:00+00:00,PT15M,Natural Gas,1037.52,5018.6
2025-03-05T21:00:00+00:00,PT15M,Biofuels,0,5018.6
2025-03-05T20:45:00+00:00,PT15M,Wind Onshore,30.53,4989.43
2025-03-05T20:45:00+00:00,PT15M,Wind Offshore,33.65,4989.43
2025-03-05T20:45:00+00:00,PT15M,Water,4.49,4989.43
2025-03-05T20:45:00+00:00,PT15M,Solar,0,4989.43
2025-03-05T20:45:00+00:00,PT15M,Other Fuel,0,4989.43
2025-03-05T20:45:00+00:00,PT15M,Other,354.28,4989.43
2025-03-05T20:45:00+00:00,PT15M,Nuclear,3488.55,4989.43
2025-03-05T20:45:00+00:00,PT15M,Natural Gas,1077.93,4989.43
2025-03-05T20:45:00+00:00,PT15M,Biofuels,0,4989.43
2025-03-05T20:30:00+00:00,PT15M,Wind Onshore,27.99,5033.04
2025-03-05T20:30:00+00:00,PT15M,Wind Offshore,60.63,5033.04
2025-03-05T20:30:00+00:00,PT15M,Water,2.76,5033.04
2025-03-05T20:30:00+00:00,PT15M,Solar,0,5033.04
2025-03-05T20:30:00+00:00,PT15M,Other Fuel,0,5033.04
2025-03-05T20:30:00+00:00,PT15M,Other,375.79,5033.04
2025-03-05T20:30:00+00:00,PT15M,Nuclear,3488.4,5033.04
2025-03-05T20:30:00+00:00,PT15M,Natural Gas,1077.47,5033.04
2025-03-05T20:30:00+00:00,PT15M,Biofuels,0,5033.04
2025-03-05T20:15:00+00:00,PT15M,Wind Onshore,24.3,5059.36
2025-03-05T20:15:00+00:00,PT15M,Wind Offshore,78.65,5059.36
2025-03-05T20:15:00+00:00,PT15M,Water,0.6,5059.36
2025-03-05T20:15:00+00:00,PT15M,Solar,0,5059.36
2025-03-05T20:15:00+00:00,PT15M,Other Fuel,0,5059.36
2025-03-05T20:15:00+00:00,PT15M,Other,372.57,5059.36
2025-03-05T20:15:00+00:00,PT15M,Nuclear,3488.04,5059.36
2025-03-05T20:15:00+00:00,PT15M,Natural Gas,1095.2,5059.36
2025-03-05T20:15:00+00:00,PT15M,Biofuels,0,5059.36
2025-03-05T20:00:00+00:00,PT15M,Wind Onshore,18.4,5150.93
2025-03-05T20:00:00+00:00,PT15M,Wind Offshore,78.45,5150.93
2025-03-05T20:00:00+00:00,PT15M,Water,113.32,5150.93
2025-03-05T20:00:00+00:00,PT15M,Solar,0,5150.93
2025-03-05T20:00:00+00:00,PT15M,Other Fuel,0,5150.93
2025-03-05T20:00:00+00:00,PT15M,Other,375.57,5150.93
2025-03-05T20:00:00+00:00,PT15M,Nuclear,3487.94,5150.93
2025-03-05T20:00:00+00:00,PT15M,Natural Gas,1077.25,5150.93
2025-03-05T20:00:00+00:00,PT15M,Biofuels,0,5150.93
2025-03-05T19:45:00+00:00,PT15M,Wind Onshore,14.88,5584.44
2025-03-05T19:45:00+00:00,PT15M,Wind Offshore,83.53,5584.44
2025-03-05T19:45:00+00:00,PT15M,Water,505.8,5584.44
2025-03-05T19:45:00+00:00,PT15M,Solar,0,5584.44
2025-03-05T19:45:00+00:00,PT15M,Other Fuel,0,5584.44
2025-03-05T19:45:00+00:00,PT15M,Other,375.3,5584.44
2025-03-05T19:45:00+00:00,PT15M,Nuclear,3487.99,5584.44
2025-03-05T19:45:00+00:00,PT15M,Natural Gas,1116.94,5584.44
2025-03-05T19:45:00+00:00,PT15M,Biofuels,0,5584.44
2025-03-05T19:30:00+00:00,PT15M,Wind Onshore,10.61,5674.32
2025-03-05T19:30:00+00:00,PT15M,Wind Offshore,91.65,5674.32
2025-03-05T19:30:00+00:00,PT15M,Water,567.08,5674.32
2025-03-05T19:30:00+00:00,PT15M,Solar,0,5674.32
2025-03-05T19:30:00+00:00,PT15M,Other Fuel,0,5674.32
2025-03-05T19:30:00+00:00,PT15M,Other,402.97,5674.32
2025-03-05T19:30:00+00:00,PT15M,Nuclear,3488.24,5674.32
2025-03-05T19:30:00+00:00,PT15M,Natural Gas,1113.77,5674.32
2025-03-05T19:30:00+00:00,PT15M,Biofuels,0,5674.32
2025-03-05T19:15:00+00:00,PT15M,Wind Onshore,9.12,5649.27
2025-03-05T19:15:00+00:00,PT15M,Wind Offshore,81.57,5649.27
2025-03-05T19:15:00+00:00,PT15M,Water,573.18,5649.27
2025-03-05T19:15:00+00:00,PT15M,Solar,0,5649.27
2025-03-05T19:15:00+00:00,PT15M,Other Fuel,0,5649.27
2025-03-05T19:15:00+00:00,PT15M,Other,379.21,5649.27
2025-03-05T19:15:00+00:00,PT15M,Nuclear,3487.87,5649.27
2025-03-05T19:15:00+00:00,PT15M,Natural Gas,1118.32,5649.27
2025-03-05T19:15:00+00:00,PT15M,Biofuels,0,5649.27
2025-03-05T19:00:00+00:00,PT15M,Wind Onshore,6.91,5611.25
2025-03-05T19:00:00+00:00,PT15M,Wind Offshore,53.77,5611.25
2025-03-05T19:00:00+00:00,PT15M,Water,564.23,5611.25
2025-03-05T19:00:00+00:00,PT15M,Solar,0,5611.25
2025-03-05T19:00:00+00:00,PT15M,Other Fuel,0,5611.25
2025-03-05T19:00:00+00:00,PT15M,Other,361.88,5611.25
2025-03-05T19:00:00+00:00,PT15M,Nuclear,3487.16,5611.25
2025-03-05T19:00:00+00:00,PT15M,Natural Gas,1137.3,5611.25
2025-03-05T19:00:00+00:00,PT15M,Biofuels,0,5611.25
2025-03-05T18:45:00+00:00,PT15M,Wind Onshore,5.12,5792.81
2025-03-05T18:45:00+00:00,PT15M,Wind Offshore,46.35,5792.81
2025-03-05T18:45:00+00:00,PT15M,Water,581.17,5792.81
2025-03-05T18:45:00+00:00,PT15M,Solar,0,5792.81
2025-03-05T18:45:00+00:00,PT15M,Other Fuel,0,5792.81
