datetime,resolutioncode,fueltypepublication,generatedpower,totalgeneratedpower
2025-01-01T01:15:00+00:00,PT15M,Water,8.47,7133.6
2025-01-01T01:15:00+00:00,PT15M,Nuclear,3952.53,7133.6
2025-01-01T01:15:00+00:00,PT15M,Solar,0.0,7133.6
2025-01-01T01:15:00+00:00,PT15M,Other,468.15,7133.6
2025-01-01T01:15:00+00:00,PT15M,Biofuels,0.0,7133.6
2025-01-01T01:15:00+00:00,PT15M,Wind Onshore,204.7,7133.6
2025-01-01T01:15:00+00:00,PT15M,Wind Offshore,2123.08,7133.6
2025-01-01T01:00:00+00:00,PT15M,Water,8.51,7103.58
2025-01-01T01:00:00+00:00,PT15M,Other,471.57,7103.58
2025-01-01T01:00:00+00:00,PT15M,Wind Onshore,203.54,7103.58
2025-01-01T00:45:00+00:00,PT15M,Water,8.47,7039.47
2025-01-01T00:45:00+00:00,PT15M,Solar,0.0,7039.47
2025-01-01T00:45:00+00:00,PT15M,Wind Onshore,203.17,7039.47
2025-01-01T00:45:00+00:00,PT15M,Wind Offshore,2054.38,7039.47
2025-01-01T00:30:00+00:00,PT15M,Natural Gas,376.41,7056.91
2025-01-01T00:30:00+00:00,PT15M,Nuclear,3952.54,7056.91
2025-01-01T00:30:00+00:00,PT15M,Biofuels,0.0,7056.91
2025-01-01T00:30:00+00:00,PT15M,Wind Onshore,202.98,7056.91
2025-01-01T00:15:00+00:00,PT15M,Nuclear,3951.42,7063.19
2025-01-01T00:15:00+00:00,PT15M,Wind Onshore,201.52,7063.19
2025-01-01T00:15:00+00:00,PT15M,Wind Offshore,2075.45,7063.19
2025-01-01T00:00:00+00:00,PT15M,Natural Gas,377.0,7033.69
2025-01-01T00:00:00+00:00,PT15M,Nuclear,3953.12,7033.69
2025-01-01T00:00:00+00:00,PT15M,Wind Onshore,198.28,7033.69
2025-01-01T00:00:00+00:00,PT15M,Wind Offshore,2037.98,7033.69
2025-01-01T23:30:00+00:00,PT15M,Water,8.41,5634.24
2025-01-01T23:30:00+00:00,PT15M,Nuclear,3955.12,5634.24
2025-01-01T23:30:00+00:00,PT15M,Other,433.41,5634.24
2025-01-01T23:30:00+00:00,PT15M,Wind Onshore,68.18,5634.24
2025-01-01T23:15:00+00:00,PT15M,Natural Gas,369.66,5962.45
2025-01-01T23:15:00+00:00,PT15M,Biofuels,0.0,5962.45
2025-01-01T23:15:00+00:00,PT15M,Wind Onshore,77.25,5962.45
2025-01-01T23:15:00+00:00,PT15M,Wind Offshore,1113.39,5962.45
2025-01-01T23:00:00+00:00,PT15M,Nuclear,3956.01,6192.71
2025-01-01T23:00:00+00:00,PT15M,Wind Onshore,83.04,6192.71
2025-01-01T23:00:00+00:00,PT15M,Wind Offshore,1342.64,6192.71
2025-01-01T22:45:00+00:00,PT15M,Natural Gas,372.36,6418.77
2025-01-01T22:30:00+00:00,PT15M,Nuclear,3954.2,6636.5
2025-01-01T22:30:00+00:00,PT15M,Other,432.37,6636.5
2025-01-01T22:15:00+00:00,PT15M,Natural Gas,415.05,6872.44
2025-01-01T22:15:00+00:00,PT15M,Biofuels,0.0,6872.44
